"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"ARC83.IN2-63091","PROV","OPT",13,13,0,0,1.51,1164,53655,"PA2"
"ARC83.IN2-68421","PROV","OPT",12,12,0,0,1.82,1679,51543,"PA2"
"ARC83.IN2-68831","PROV","OPT",12,12,0,0,0.93,1027,17853,"PA2"
"ARC83.IN2-75711","PROV","OPT",11,11,0,0,0.93,506,32294,"PA2"
"ARC83.IN2-84121","PROV","OPT",10,10,0,0,0.16,0,716,"PA2"
"ARC83.IN2-88981","PROV","OPT",9,9,0,0,0.15,0,594,"PA2"
"ARC83.IN2-108161","PROV","OPT",8,8,0,0,2.29,3160,115636,"PA2"
"ARC111.IN2-57551","PROV","OPT",27,27,0,0,19.56,4279,172398,"PA2"
"ARC111.IN2-57851","PROV","OPT",27,27,0,0,3.12,459,37336,"PA2"
"ARC111.IN2-60161","PROV","OPT",26,26,0,0,19.78,3276,86675,"PA2"
"ARC111.IN2-62671","PROV","OPT",25,25,0,0,16.29,9789,201052,"PA2"
"ARC111.IN2-65401","PROV","OPT",24,24,0,0,3.2,1451,40999,"PA2"
"ARC111.IN2-68371","PROV","OPT",23,23,0,0,14.35,4783,154139,"PA2"
"ARC111.IN2-71621","PROV","OPT",22,22,0,0,5.19,2275,81768,"PA2"
"ARC111.IN2-75201","FEAS","OPT",21,20,0,0,600.03,587801,11820118,"PA2"
"ARC111.IN2-79161","PROV","OPT",20,20,0,0,1.67,217,19203,"PA2"
"ARC111.IN2-83561","PROV","OPT",19,19,0,0,6.22,2393,106338,"PA2"
"ARC111.IN2-88471","PROV","OPT",18,18,0,0,3.56,1583,29930,"PA2"
